metric,0–0.5_recall,0.5–0.75_recall,0.75–1.0_recall,1.0_recall,0–0.5_f1,0.5–0.75_f1,0.75–1.0_f1,1.0_f1,0–0.5,0.5–0.75,0.75–1.0,1.0
delta_chao1,215,7,0,78,248,41,1,10,282,1,0,17
delta_completeness,279,3,0,18,298,2,0,0,299,0,0,1
delta_coverage,265,4,0,31,290,9,1,0,298,1,0,1
delta_hill_q1,134,22,0,144,182,58,24,36,218,31,0,51
delta_hill_q2,151,21,0,128,198,50,22,30,223,25,0,52
reldelta_chao1,257,4,0,39,264,20,4,12,260,1,0,39
reldelta_hill_q1,144,22,0,134,198,45,29,28,226,30,0,44
reldelta_hill_q2,158,21,0,121,206,46,21,27,231,23,0,46
zscore_chao1,190,15,0,95,218,13,9,60,218,2,0,80
zscore_hill_q1,153,16,0,131,180,44,15,61,194,16,0,90
zscore_hill_q2,184,13,0,103,207,31,14,48,213,10,0,77
