metric,0–0.5_recall,0.5–0.75_recall,0.75–1.0_recall,1.0_recall,0–0.5_f1,0.5–0.75_f1,0.75–1.0_f1,1.0_f1,0–0.5,0.5–0.75,0.75–1.0,1.0
delta_chao1,219,10,0,71,264,31,1,4,285,2,0,13
delta_completeness,277,2,0,21,300,0,0,0,300,0,0,0
delta_coverage,268,3,0,29,300,0,0,0,300,0,0,0
delta_hill_q1,185,14,0,101,291,4,0,5,293,0,0,7
delta_hill_q2,191,12,0,97,293,3,0,4,294,0,0,6
reldelta_chao1,254,7,0,39,281,10,2,7,273,0,0,27
reldelta_hill_q1,187,12,0,101,296,1,1,2,295,1,0,4
reldelta_hill_q2,196,11,0,93,294,4,0,2,296,0,0,4
zscore_chao1,209,11,0,80,253,8,5,34,249,1,0,50
zscore_hill_q1,200,14,0,86,258,13,4,25,262,1,0,37
zscore_hill_q2,209,12,0,79,265,11,2,22,264,3,0,33
