log_number,metric,threshold,precision,recall,f1
1401,delta_chao1,44.10056148396396,0.25,0.5,0.3333333333333333
1401,delta_hill_q1,3.6434175329765193,1.0,1.0,1.0
1401,delta_hill_q2,2.3299314295217233,1.0,1.0,1.0
1401,delta_completeness,0.2336999517262175,0.0,0.0,0.0
1401,delta_coverage,0.004657136132958484,0.4,1.0,0.5714285714285714
1401,zscore_chao1,1.1494666740604913,0.0,0.0,0.0
1401,zscore_hill_q1,0.9414478513601321,1.0,1.0,1.0
1401,zscore_hill_q2,0.9109523233531253,0.5,0.5,0.5
1401,reldelta_chao1,0.25138057052589513,0.25,0.5,0.3333333333333333
1401,reldelta_hill_q1,0.17055995787035738,1.0,1.0,1.0
1401,reldelta_hill_q2,0.15151642306888313,1.0,1.0,1.0
1403,delta_chao1,13.600000000000001,0.5,1.0,0.6666666666666666
1403,delta_hill_q1,1.0102795421625181,1.0,1.0,1.0
1403,delta_hill_q2,0.7883577490280409,0.5,1.0,0.6666666666666666
1403,delta_completeness,0.33490196078431345,0.0,0.0,0.0
1403,delta_coverage,0.0026202422597094155,0.0,0.0,0.0
1403,zscore_chao1,1.787894989426533,1.0,1.0,1.0
1403,zscore_hill_q1,1.0930615398720327,0.25,1.0,0.4
1403,zscore_hill_q2,1.2359657095495324,0.0,0.0,0.0
1403,reldelta_chao1,0.54399999997824,0.5,1.0,0.6666666666666666
1403,reldelta_hill_q1,0.04993288243554857,1.0,1.0,1.0
1403,reldelta_hill_q2,0.05393972600198895,0.5,1.0,0.6666666666666666
1404,delta_chao1,9.600000000000001,0.0,0.0,0.0
1404,delta_hill_q1,0.13035628290161405,0.6666666666666666,0.6666666666666666,0.6666666666666666
1404,delta_hill_q2,0.11521255979220868,0.6666666666666666,0.6666666666666666,0.6666666666666666
1404,delta_completeness,inf,0.0,0.0,0.0
1404,delta_coverage,inf,0.0,0.0,0.0
1404,zscore_chao1,1.0936176111328362,0.3333333333333333,0.6666666666666666,0.4444444444444444
1404,zscore_hill_q1,1.1446981435749268,0.2,0.3333333333333333,0.25
1404,zscore_hill_q2,1.1279474114070265,0.2,0.3333333333333333,0.25
1404,reldelta_chao1,1.333333332888889,1.0,0.3333333333333333,0.5
1404,reldelta_hill_q1,0.009163815903124652,0.6666666666666666,0.6666666666666666,0.6666666666666666
1404,reldelta_hill_q2,0.011611741696269906,0.6666666666666666,0.6666666666666666,0.6666666666666666
1405,delta_chao1,10.349999999999987,0.5,1.0,0.6666666666666666
1405,delta_hill_q1,1.7639975209974699,0.5,1.0,0.6666666666666666
1405,delta_hill_q2,0.7665401516301169,0.5,1.0,0.6666666666666666
1405,delta_completeness,0.17445010909133485,0.3333333333333333,1.0,0.5
1405,delta_coverage,0.007722384850115449,0.0,0.0,0.0
1405,zscore_chao1,0.6752619077116007,1.0,1.0,1.0
1405,zscore_hill_q1,1.2673163205551263,1.0,1.0,1.0
1405,zscore_hill_q2,1.1594951080673292,1.0,1.0,1.0
1405,reldelta_chao1,0.3437566844540702,1.0,1.0,1.0
1405,reldelta_hill_q1,0.17682393841575472,0.5,1.0,0.6666666666666666
1405,reldelta_hill_q2,0.10052389767289743,0.5,1.0,0.6666666666666666
1406,delta_chao1,21.532287449392697,0.25,1.0,0.4
1406,delta_hill_q1,7.412772459363044,0.5,1.0,0.6666666666666666
1406,delta_hill_q2,4.858057177693997,0.0,0.0,0.0
1406,delta_completeness,0.16520678098507802,0.0,0.0,0.0
1406,delta_coverage,0.03109048019762839,0.0,0.0,0.0
1406,zscore_chao1,1.3661698529784092,0.0,0.0,0.0
1406,zscore_hill_q1,1.5676214110501756,0.0,0.0,0.0
1406,zscore_hill_q2,1.8101332444551295,0.0,0.0,0.0
1406,reldelta_chao1,0.41998613177789734,0.0,0.0,0.0
1406,reldelta_hill_q1,0.27653275216871864,0.5,1.0,0.6666666666666666
1406,reldelta_hill_q2,0.24839534782729106,0.5,1.0,0.6666666666666666
1407,delta_chao1,3.4166666666666643,0.0,0.0,0.0
1407,delta_hill_q1,2.846328238798603,0.5,0.5,0.5
1407,delta_hill_q2,3.901141735338925,1.0,1.0,1.0
1407,delta_completeness,0.05326935217085704,0.0,0.0,0.0
1407,delta_coverage,0.0022781751600416955,0.0,0.0,0.0
1407,zscore_chao1,0.08913153491372118,0.16666666666666666,0.5,0.25
1407,zscore_hill_q1,0.9186149697515005,0.5,0.5,0.5
1407,zscore_hill_q2,1.2207988021173724,1.0,1.0,1.0
1407,reldelta_chao1,0.06745414220102455,0.0,0.0,0.0
1407,reldelta_hill_q1,0.1267861886208938,0.0,0.0,0.0
1407,reldelta_hill_q2,0.2681436511790718,0.0,0.0,0.0
140,delta_chao1,2.4000000000000004,0.3333333333333333,0.5,0.4
140,delta_hill_q1,1.0745697049982486,1.0,1.0,1.0
140,delta_hill_q2,0.6139952082227271,1.0,1.0,1.0
140,delta_completeness,0.03902154921374501,0.25,0.5,0.3333333333333333
140,delta_coverage,0.0011052883293338756,0.3333333333333333,0.5,0.4
140,zscore_chao1,1.0064954908891919,0.0,0.0,0.0
140,zscore_hill_q1,0.7216561662837861,1.0,1.0,1.0
140,zscore_hill_q2,2.7366924279065574,1.0,0.5,0.6666666666666666
140,reldelta_chao1,0.1474999999937875,0.0,0.0,0.0
140,reldelta_hill_q1,0.13004813740173685,0.6666666666666666,1.0,0.8
140,reldelta_hill_q2,0.10957852950074562,1.0,1.0,1.0
1412,delta_chao1,4.0,0.2,0.3333333333333333,0.25
1412,delta_hill_q1,0.7498925901214433,0.5,0.3333333333333333,0.4
