log_number,metric,threshold,precision,recall,f1
1401,delta_chao1,50.617970341654555,0.0,0.0,0.0
1401,delta_hill_q1,4.460699487676138,1.0,1.0,1.0
1401,delta_hill_q2,1.7209775259534812,1.0,1.0,1.0
1401,delta_completeness,0.2350784806603684,1.0,0.5,0.6666666666666666
1401,delta_coverage,0.0071113387140605,0.0,0.0,0.0
1401,zscore_chao1,1.016535071537414,0.0,0.0,0.0
1401,zscore_hill_q1,1.3167687979877978,1.0,0.5,0.6666666666666666
1401,zscore_hill_q2,0.7980317396238121,0.5,0.5,0.5
1401,reldelta_chao1,0.2520756114803366,0.0,0.0,0.0
1401,reldelta_hill_q1,0.1968254763554574,1.0,1.0,1.0
1401,reldelta_hill_q2,0.0933174228116261,1.0,1.0,1.0
1403,delta_chao1,10.4,0.0,0.0,0.0
1403,delta_hill_q1,0.5081179055250296,1.0,1.0,1.0
1403,delta_hill_q2,0.7613666344772554,1.0,1.0,1.0
1403,delta_completeness,0.18578246929031367,0.0,0.0,0.0
1403,delta_coverage,0.0012652264645721667,0.0,0.0,0.0
1403,zscore_chao1,1.4170705493548816,0.0,0.0,0.0
1403,zscore_hill_q1,0.9944355183903952,0.25,1.0,0.4
1403,zscore_hill_q2,1.0337287770574652,0.0,0.0,0.0
1403,reldelta_chao1,0.3390937822621507,0.0,0.0,0.0
1403,reldelta_hill_q1,0.028039575509752925,1.0,1.0,1.0
1403,reldelta_hill_q2,0.050513970003165085,1.0,1.0,1.0
1404,delta_chao1,9.600000000000001,0.0,0.0,0.0
1404,delta_hill_q1,3.397518055810051,1.0,0.3333333333333333,0.5
1404,delta_hill_q2,2.3906842810406204,1.0,0.3333333333333333,0.5
1404,delta_completeness,inf,0.0,0.0,0.0
1404,delta_coverage,inf,0.0,0.0,0.0
1404,zscore_chao1,1.0208973765912661,0.4,0.6666666666666666,0.5
1404,zscore_hill_q1,1.1558661069630654,0.0,0.0,0.0
1404,zscore_hill_q2,1.1785202636869918,0.0,0.0,0.0
1404,reldelta_chao1,1.333333332888889,1.0,0.3333333333333333,0.5
1404,reldelta_hill_q1,0.4711932942828515,1.0,0.6666666666666666,0.8
1404,reldelta_hill_q2,0.6383912521107772,0.0,0.0,0.0
1405,delta_chao1,8.79583333333333,0.0,0.0,0.0
1405,delta_hill_q1,1.588790115643171,0.0,0.0,0.0
1405,delta_hill_q2,0.7412553525922481,0.5,1.0,0.6666666666666666
1405,delta_completeness,0.1922404607058925,0.0,0.0,0.0
1405,delta_coverage,0.004104430358256306,0.0,0.0,0.0
1405,zscore_chao1,0.3463864182409298,0.0,0.0,0.0
1405,zscore_hill_q1,0.6655358591446561,0.5,1.0,0.6666666666666666
1405,zscore_hill_q2,0.7476909250454838,0.5,1.0,0.6666666666666666
1405,reldelta_chao1,0.23149903711808115,0.0,0.0,0.0
1405,reldelta_hill_q1,0.16053974682697236,0.0,0.0,0.0
1405,reldelta_hill_q2,0.09850580685376512,0.5,1.0,0.6666666666666666
1406,delta_chao1,10.661904761904772,0.16666666666666666,1.0,0.2857142857142857
1406,delta_hill_q1,2.4025938501499766,0.3333333333333333,1.0,0.5
1406,delta_hill_q2,2.1392421943820743,0.5,1.0,0.6666666666666666
1406,delta_completeness,0.13910008790538647,0.0,0.0,0.0
1406,delta_coverage,0.016244133966542396,0.0,0.0,0.0
1406,zscore_chao1,1.2879948956404612,0.0,0.0,0.0
1406,zscore_hill_q1,1.2302606809919994,0.0,0.0,0.0
1406,zscore_hill_q2,1.2758943831197969,0.0,0.0,0.0
1406,reldelta_chao1,0.16510818061730126,0.0,0.0,0.0
1406,reldelta_hill_q1,0.07005244983863833,0.3333333333333333,1.0,0.5
1406,reldelta_hill_q2,0.15007607573874673,0.5,1.0,0.6666666666666666
1407,delta_chao1,1.4666666666666757,0.0,0.0,0.0
1407,delta_hill_q1,1.6085889505574205,0.0,0.0,0.0
1407,delta_hill_q2,1.884845959333461,1.0,0.5,0.6666666666666666
1407,delta_completeness,0.10123185414132863,0.0,0.0,0.0
1407,delta_coverage,0.0012344598868890833,0.0,0.0,0.0
1407,zscore_chao1,2.8451760896174783,0.0,0.0,0.0
1407,zscore_hill_q1,0.6630777520563784,0.4,1.0,0.5714285714285714
1407,zscore_hill_q2,0.9355105623193005,1.0,0.5,0.6666666666666666
1407,reldelta_chao1,0.4264705882258866,0.0,0.0,0.0
1407,reldelta_hill_q1,0.05185538203786217,0.0,0.0,0.0
