log_number,metric,threshold,precision,recall,f1
1401,delta_chao1,148.0090909090909,0.0,0.0,0.0
1401,delta_hill_q1,2.7861478828263024,0.2,0.5,0.2857142857142857
1401,delta_hill_q2,1.5967808154869836,0.3333333333333333,1.0,0.5
1401,delta_completeness,0.29623015596212504,0.0,0.0,0.0
1401,delta_coverage,0.020815817200415476,0.1111111111111111,0.5,0.18181818181818182
1401,zscore_chao1,1.1375707028809312,0.0,0.0,0.0
1401,zscore_hill_q1,1.268307480757597,0.3333333333333333,0.5,0.4
1401,zscore_hill_q2,1.0912706861186288,0.25,0.5,0.3333333333333333
1401,reldelta_chao1,1.4918386439053979,0.0,0.0,0.0
1401,reldelta_hill_q1,0.14585194181116873,0.25,0.5,0.3333333333333333
1401,reldelta_hill_q2,0.10090783378097316,0.4,1.0,0.5714285714285714
1403,delta_chao1,7.5,0.125,1.0,0.2222222222222222
1403,delta_hill_q1,0.6765455413383545,0.25,1.0,0.4
1403,delta_hill_q2,1.1170069204638278,0.5,1.0,0.6666666666666666
1403,delta_completeness,0.11151361246224989,0.07142857142857142,1.0,0.13333333333333333
1403,delta_coverage,0.004112697395429132,0.2,1.0,0.3333333333333333
1403,zscore_chao1,0.8529833280614105,0.14285714285714285,1.0,0.25
1403,zscore_hill_q1,1.2483359895826065,0.25,1.0,0.4
1403,zscore_hill_q2,1.4523411271655817,0.25,1.0,0.4
1403,reldelta_chao1,0.3876430416932518,0.16666666666666666,1.0,0.2857142857142857
1403,reldelta_hill_q1,0.04228853954919308,0.5,1.0,0.6666666666666666
1403,reldelta_hill_q2,0.06549479928359989,0.5,1.0,0.6666666666666666
1404,delta_chao1,9.600000000000001,0.0,0.0,0.0
1404,delta_hill_q1,0.0835734842682836,0.6666666666666666,0.6666666666666666,0.6666666666666666
1404,delta_hill_q2,0.0852650166151343,0.5,0.6666666666666666,0.5714285714285714
1404,delta_completeness,inf,0.0,0.0,0.0
1404,delta_coverage,inf,0.0,0.0,0.0
1404,zscore_chao1,1.1591484391544198,0.14285714285714285,0.6666666666666666,0.23529411764705882
1404,zscore_hill_q1,1.194900249685243,0.07692307692307693,0.3333333333333333,0.125
1404,zscore_hill_q2,1.1704171124368492,0.0,0.0,0.0
1404,reldelta_chao1,1.333333332888889,1.0,0.3333333333333333,0.5
1404,reldelta_hill_q1,0.009282659496032478,0.5,0.6666666666666666,0.5714285714285714
1404,reldelta_hill_q2,0.01102168191221936,0.4,0.6666666666666666,0.5
1405,delta_chao1,17.749999999999993,0.0,0.0,0.0
1405,delta_hill_q1,2.007802444639511,0.0,0.0,0.0
1405,delta_hill_q2,0.855750470168017,0.0,0.0,0.0
1405,delta_completeness,0.249726286290761,0.0,0.0,0.0
1405,delta_coverage,0.021108598134291,0.0,0.0,0.0
1405,zscore_chao1,0.7903386083837838,0.0,0.0,0.0
1405,zscore_hill_q1,1.5889903513917665,0.0,0.0,0.0
1405,zscore_hill_q2,1.3872350721516151,0.0,0.0,0.0
1405,reldelta_chao1,0.5039020862717789,0.0,0.0,0.0
1405,reldelta_hill_q1,0.20134173373235265,0.0,0.0,0.0
1405,reldelta_hill_q2,0.11708180664477688,0.0,0.0,0.0
1406,delta_chao1,68.02337662337662,0.0,0.0,0.0
1406,delta_hill_q1,7.875623796447254,0.0,0.0,0.0
1406,delta_hill_q2,6.0821102640571745,0.0,0.0,0.0
1406,delta_completeness,0.32586690728626216,0.0,0.0,0.0
1406,delta_coverage,0.05114287687899155,0.0,0.0,0.0
1406,zscore_chao1,1.5388832431443467,0.0,0.0,0.0
1406,zscore_hill_q1,1.5194553927042587,0.0,0.0,0.0
1406,zscore_hill_q2,1.5800695381871799,0.0,0.0,0.0
1406,reldelta_chao1,1.394937025670608,0.0,0.0,0.0
1406,reldelta_hill_q1,0.34780806808561937,0.0,0.0,0.0
1406,reldelta_hill_q2,0.3938716694512566,0.0,0.0,0.0
1407,delta_chao1,8.783333333333317,0.07692307692307693,0.5,0.13333333333333333
1407,delta_hill_q1,3.2958746396226424,0.0,0.0,0.0
1407,delta_hill_q2,2.660511539321753,0.3333333333333333,0.5,0.4
1407,delta_completeness,0.19208255356341886,0.0,0.0,0.0
1407,delta_coverage,0.008015057593895647,0.0,0.0,0.0
1407,zscore_chao1,1.2075227425869648,0.0,0.0,0.0
1407,zscore_hill_q1,1.0385005924784543,0.3333333333333333,0.5,0.4
1407,zscore_hill_q2,1.2531843387003188,0.6666666666666666,1.0,0.8
1407,reldelta_chao1,0.1687711296945289,0.0,0.0,0.0
1407,reldelta_hill_q1,0.14701318613686307,0.0,0.0,0.0
1407,reldelta_hill_q2,0.13244522576116668,0.25,0.5,0.3333333333333333
140,delta_chao1,5.224999999999998,0.1,0.5,0.16666666666666666
140,delta_hill_q1,1.8240939115902934,0.4,1.0,0.5714285714285714
140,delta_hill_q2,0.8418032748825013,0.4,1.0,0.5714285714285714
140,delta_completeness,0.1642827446505497,0.14285714285714285,0.5,0.2222222222222222
140,delta_coverage,0.010868820587933259,0.125,0.5,0.2
140,zscore_chao1,0.6020928730306999,0.0,0.0,0.0
140,zscore_hill_q1,1.712486394551072,0.5,1.0,0.6666666666666666
140,zscore_hill_q2,1.2744702987180583,0.6666666666666666,1.0,0.8
140,reldelta_chao1,0.3200673584140467,0.0,0.0,0.0
140,reldelta_hill_q1,0.25426307877380844,0.25,0.5,0.3333333333333333
140,reldelta_hill_q2,0.16417790817080324,0.4,1.0,0.5714285714285714
1412,delta_chao1,7.285714285714285,0.2,0.5,0.2857142857142857
1412,delta_hill_q1,1.3104733251057885,0.5,0.5,0.5
1412,delta_hill_q2,0.542173888485145,0.25,0.25,0.25
1412,delta_completeness,0.18638802145888378,0.125,0.25,0.16666666666666666
1412,delta_coverage,0.005781248693550678,0.25,0.25,0.25
1412,zscore_chao1,1.7438827129419332,0.3333333333333333,0.25,0.2857142857142857
1412,zscore_hill_q1,1.4354369739026343,0.14285714285714285,0.25,0.18181818181818182
1412,zscore_hill_q2,1.3478968116477987,0.14285714285714285,0.25,0.18181818181818182
1412,reldelta_chao1,0.4121557454554048,0.3333333333333333,0.25,0.2857142857142857
1412,reldelta_hill_q1,0.09706635876772679,0.3333333333333333,0.25,0.2857142857142857
1412,reldelta_hill_q2,0.0622171164494694,0.16666666666666666,0.25,0.2
1422,delta_chao1,2.4000000000000004,0.0,0.0,0.0
1422,delta_hill_q1,0.06082704009464979,0.0,0.0,0.0
1422,delta_hill_q2,0.08795460677309497,0.0,0.0,0.0
1422,delta_completeness,inf,0.0,0.0,0.0
1422,delta_coverage,inf,0.0,0.0,0.0
1422,zscore_chao1,1.152346260792902,1.0,1.0,1.0
1422,zscore_hill_q1,1.0007620529037131,0.0,0.0,0.0
1422,zscore_hill_q2,1.0140526307030555,0.0,0.0,0.0
1422,reldelta_chao1,0.16666666663888888,0.0,0.0,0.0
1422,reldelta_hill_q1,0.014087835091450722,0.0,0.0,0.0
1422,reldelta_hill_q2,0.023616288768181996,0.0,0.0,0.0
1423,delta_chao1,62.583333333333314,0.0,0.0,0.0
1423,delta_hill_q1,5.353657739361557,0.0,0.0,0.0
1423,delta_hill_q2,3.3483568254199696,0.0,0.0,0.0
1423,delta_completeness,0.3578626159736901,0.0,0.0,0.0
1423,delta_coverage,0.03696518921348535,0.0,0.0,0.0
1423,zscore_chao1,1.6759411364986376,0.0,0.0,0.0
1423,zscore_hill_q1,1.6618974329296599,0.0,0.0,0.0
1423,zscore_hill_q2,1.5416287352462765,0.0,0.0,0.0
1423,reldelta_chao1,0.6495515380770138,0.0,0.0,0.0
1423,reldelta_hill_q1,0.19118407662318787,0.0,0.0,0.0
1423,reldelta_hill_q2,0.15304107830562697,0.0,0.0,0.0
1424,delta_chao1,5.6000000000000005,0.0,0.0,0.0
1424,delta_hill_q1,0.09422693194778198,0.42857142857142855,1.0,0.6
1424,delta_hill_q2,0.17494703850763615,0.4,0.6666666666666666,0.5
1424,delta_completeness,0.08333333333333337,0.0,0.0,0.0
1424,delta_coverage,0.005586592178770999,0.0,0.0,0.0
1424,zscore_chao1,1.3042271191316765,1.0,0.3333333333333333,0.5
1424,zscore_hill_q1,1.246068233490483,0.13333333333333333,0.6666666666666666,0.2222222222222222
1424,zscore_hill_q2,1.208439955903716,0.09090909090909091,0.3333333333333333,0.14285714285714285
1424,reldelta_chao1,0.5333333331674075,1.0,0.3333333333333333,0.5
1424,reldelta_hill_q1,0.018854275032707094,0.6,1.0,0.75
1424,reldelta_hill_q2,0.03756333327551697,0.5,0.6666666666666666,0.5714285714285714
1426,delta_chao1,34.83558897243111,0.0,0.0,0.0
1426,delta_hill_q1,2.6009105915438226,0.75,1.0,0.8571428571428571
1426,delta_hill_q2,0.9871319474124753,0.5,0.6666666666666666,0.5714285714285714
1426,delta_completeness,0.20377559429480618,0.0,0.0,0.0
